sentimen	Tweet
0	korean honey butter fried chicken maaf gak pake foto huhuhu aku lupa foto pas makan 
1	sampai saat ini kamu adalah orang yang setiap hari aku ceritakan dan aku banggakan didepan teman temanku 
-1	wehhhhh allahu sakitnyaaaaa 
1	aku jugaetuju ini veronica my baby udah gitu tiap interview pun dia aslinya super g 
0	aku diabetes
0	5 ciri nyeleneh orang ber iq tinggi kamualahatunya gayajitu
-1	masa kecik kecik dulu aku tak ikut mak aku masuk dalam sebab fikir macam ni laaa 
-1	sorry wehebabusahkan kau aku tak suka bila kawan aku cakap macam ni kau kawan aku jadi tolong kau tu dah macam tan 
1	cinta itu bukan sekedar logika saling bersama tapi cinta lebih kepada menjiwai bersatunya kamu dan aku dalam indahnya semesta 
0	haloo redil chu here tunggu ya mbakis aku beli novel lengkapnya doloe
1	ini kereeen jokowilagi
0	bu aku mau punya ade lagi tp jangan yg bisa jalan pagi ini dikamar mandi sebelom berangkat sekolah malkatun 3 tahun leb 
-1	aku klu mati beranak mati syahid aku kau kalau mati sekarang matilah kau sbg pencinta suami org penganggu hidup org 
-1	demi turun ngambil ini aku kepleset ditangga 
0	penglingsir yg sliweran disana nah aku msuk 
1	ya ya ya dan aku tahu sekarang 
0	kesian tengok umobile users bersabar lah aku takmau bukak cerita pasal telco dorang pandai2 lah korang ye 
1	aku mau ikutan lagi 
0	okaaayyy danee kamu jangan lupa lunch ya 
1	aku kat sini mencarut carut sieyy hahahahahahahhhahaha
0	adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better 
0	bilang aamiin makasih kalo aku anti kamu lebih cantik club 
0	sape rt aku lukis dp dia 
0	ada kunjungan dari kyunghee university dan dosennya tau nuest btw dosennya udah ahjumma eo kamu fansnya nuest 
-1	ini mama bbl lama siak member dia smpai ada yg tidur aku tk paham dia nya bahasa tapi suspect topic boring 
-1	kk cecil makan richeese level pedesnya satu saus kejunya gamau dimakan semoga setiap dia beli richeese ngajak aku 
0	kalo toge seribu perak dapetnya segambreng tuh emak cebong sambil ngutil kali sist belanjanya 
-1	babang bikin gagal fokus ahhh link download blued apk android ios buka 
0	kan aku gatau biasanya tiap rumah punya stok beras jd gue pikir lu tinggal masak buat makan hshsh
1	sok hebat aku cinta bahasa indonesia 
0	aku dah tahu dah kenapa kau rt anat 
0	bro followan yuk ama aku ava ku sungwoon auto follback ya hehe
0	tadi aku ad dua bangladesh customerorg tu tengkuk terkehel mc sebulan yg sorg tu putus dua jari sbb kaca jatuh 
1	tak peduli apa yang telah hilang dalam hidupmu selama kamu masih mampu bersyukur pada tuhan kamu tak kehilangan apapun 
1	wkwk aku yo sok ngono btw 
0	jadi dalam rangka ulang tahunnya namjoon aku mau ga album ly tear ada yg mau gak ya kira2 rulesnya follow set 
-1	halo aku bs dm ga aku jg di di maki2 kek kampang aja ni orang kurang ajar udah aku laporin dia ke pih 
-1	mung selalu fikir negative buat apa weh aku bukan jenis macam tu setan
1	chemotherapy gdp cycle 2 day 1 orang lain sibuk daftar sem aku sibuk daftar wad doakan yg baik baik https 
-1	gilak tadi malam aku mimpiin super junior kenapa ngga mimpiin blackpink atau momoland aja sih 
1	kalau duduk sini tempat die terhad tapi kalau duduk sane kamu kene duduk bersila hanya budak sekolah aku je faham hahahah
0	aku minhyun nder
-1	kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
0	krt ikonic mutualan yuu yg ga masalah aku mulfan hehe
-1	perempuan ni makin hari makin bangang sangat kenapa
0	wiroableng film yang diproduseri ini ga cuma tayang di indonesia tapi di beberapa negara 
0	weh sumpah aku tkleh move on dengar suara housemate aku 
1	kata temen2ku pas sma ntar kamu kuliah ambil sastra indonesia aja cocok loh 
0	mana ada semalam aku muncul sangat kat media sosial member member bagi ws bagi dm aku balas satu satu jetory i 
-1	ikan sapu sapu ikan mas kamu cepu aku tindas 
-1	bagaimana kamu bisa meyakinkan kami bahwa kita sama2 mencintai nkri mencintai presiden nkri yg sah saja kamu tidak mamp 
0	her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru 
0	hmmm dak salah lagi iyo nian kata mutiara dre 'aku bokek gara2 oppa'
-1	aku biasa aja ma manba jd ya biar terserah staff aja anak2 di grup tuh yg hype bgt 
0	registerkan utk aku dulu ni serius ni
-1	samaama tapi ini udah berakhir kok aku jg bingung kalo liat kalian sementionan di teel 
0	hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit 
1	cepet sembuh sayaang semoga kamu selalu diberikan kekuatan dan allah angkat sakit kamu segera yaaemangat a 
0	helphare ada yg menang fansign the saem seventeen reply or dm aku ya butuh teman barengan karna aku sendirian thankyouvtinjkt
0	lo temen gue yang alay ya
0	apa apa pon aku kene hadap kerja esok 
-1	aku tahu lah aku ni cengeng tapi cuba jangan cakap asyik nangis je lain orang lain cara dia luahkan kesedihan mujur aku t 
0	jebul aku meneng kono yo meneng 
0	tapi macam nais la pulak xr fuh aku dahlaa book 7plus ni hm nak cancelllllllll
0	haha bout that aku still tngah fikir 
0	boleh hilangkan maruah yang tercalar tak 
-1	kalau rindu aku nak bagitahu ni whatsapp aku masih berfungsi dengan baik tau aku jarang bagi bluetick kat orang melai 
1	makasih kamu cepet sembuh ya 
0	aku nk nasihatkan para wanita yg buat cod tolong hati hati dan harap sgt korang brteman never let urself alone bila cod yes 
0	tadi aku lagiibuk bentar 
0	mfs folowan rt ja ntar aku folow follback tpi
0	antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki 
-1	aku taktahulah macam mana sakitnya arwah nenek aku dulu boleh lahirkan 15 orang anak nak lahirkan sorang pun dah seksa 
1	alhamdulillah hidup lgi yg penting hahaha buat masa ni tkdelah tkde rindu lgi kt shah alam tu he 
0	laki punya gaduh 7 min je paling lama lepastu isap balut sesama
0	kakean berimajinasi aku kih 
1	ya gimana ya aku juga bingung mau kasih saran nih km jatuh hati karna foto tampannya 
-1	aku buat ape kt kau sampai kau layan aku macam gini
0	kalau menurut pendukung partay oposisi sudah pasti di tafsir kampanye iklan ini klu menurut aku menc 
0	kpop ada yg mau join ga barang official ga klo yg rep 50 aku drop direp dan janji pda ikut ya 
1	cintafarahmlda1 aku cinta farah maulida
1	aku tak faham betul lah terlalu baik 
1	aku penggemar mie burung dara enaknya nyambung terus
0	aku jadi pengen jawabin menfess dia kalo aja dia share di base yg tepat 
0	aku dilahirkan di bumi ni memang untuk jaga hati semua pihakampai hati aku barai pun tak ada orang kesah hmm
0	giveaway preloved masker emina baru dipake 3x caranya tinggal retweet aja tweet ini dan doain semoga urusanku semuanya la 
0	cara medapatkan uang banyak dengan modal 50 kamu sudah bisa dapat ratusan juta hanya di 
-1	ngeremehin aku ya 
1	wkwkwkwk jan rupane asi teko ati eggg hmmm wkwk
0	aku yang masak kau yang panas 
0	rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak 
0	atas bergabungnya orang kaya ini di twitter aku mau giveaway pulsa 25k buat satu orang aja bc aku misqueen sm aja kyk klea 
1	wah pas banget aku abis bikin tiktok baru
0	kan aku ada cita cita jugak tengok iphone 8 plus hahaha intern pun bukan banyak pun masuk haha have fun kel kat si
0	aku nampak huhu
1	aku cinta bahasa indonesia
-1	kamu udah kuliah tapi kok ga malu sih 
-1	kenapa kurus kering sangat ni tak cukup makan ke dia tak tahu yang aku struggle gila nak tambah berat badan t 
0	aku lapar ni haih
1	kebahagiaan tidak akan habis hanya karena membaginya ketahuilah kebahagiaan bertambah ketika kamu bersedia untuk berbag 
0	giveaway pulsa 20k untuk 1 orang pemenang caranya retweet dan follow akun aku aja ya pemenang aku umumin tangga 
0	apa yang kau nak sebelum meninggal aku nak sebelum aku mati allah ampunkan semua dosa aku dan matikan aku dalam kead 
0	hai kakilahkan informasikan detail kendala kamu terkaithopee yang dapat kami bantu ya kak os
-1	heh kamu kira aku bencong apa
-1	aku stress dah ni main ml asyik menang kalah menang kalah sampai aku khawin pon tak naik ii 
0	your voice nyanyi lah lagi sebab tu lah aku selalu suruh kau nyanyi utk aku nasib kau melayan perangai aku k 
0	ou jadi yg nicknya cechen itu kamu toh d
1	mungkin kamu hanya seseorang bagi dunia tapi bagi seseorang mungkin kamu dunianya 
1	terima hal hal yang memang tidak bisa diubah dan ubah hal hal yang kamu tak suka tapi masih ada kemungkinan untuk b 
0	aku open sharing ini ada yg mau gak 
1	sama aku juga sering gitu
0	kalau ada orang ajak ajak aku sekali aku pun bosan ni
0	giveaway for nctzen hai sesuai janji aku aku adain ga karena dapet 2 poster dan pc chenle poster we go up 1 s 
0	jangan pantang menyerah ya walaupun nanti kamu pasti bakal ninggalin jkt48 aku akan tetapupprot kamu del della jkt48
-1	terkadang bukan kenangan buruk yang membuatmu bersedih tapi kenangan indah yang kamu tahu hal itu tak akan terulang kem jokamlicious
0	kalaulah overthink ni boleh buat duit dah lama aku kaya 
0	aku iseng bukain following ig kamu kok cewek semua 
-1	huh yg gw liat sejauh ini j army ga menentang malah pada seneng nanti pas handshake event saingannya dikit lol pinter kamu
0	ldr asalamualaikum hai kak ea hari ini aku mau rikwes lagu aku cah kerjo salam salam buat putra cing adi 
-1	pinned chat kat ws dok atas sekali ws dua hari lepas tak read read tapi dp ws dah 3 4 kali aku tengok ubah ubah em ok laa 
0	sekali doang itu juga cuman bertiga kan aku anak asrama jarang muncul
-1	aku ingin jadi yg terakhir untuk kau tapi semuanya mimpi
0	yang letok dalam mangkuk jamban lagi ngotor bodo base dok reti
0	siapa yang tahu pak ahok nyindir siapa yahc aku dukung dendamnya pak ahok untuk mengusut pejabat brengsek pantesan bis 
1	pasca debut dan semakin bergulirnya waktu bigbang juga menunjukkan banyak sekali peningkatan contohtage presence 
-1	jangan sentuh aku v
-1	jangan berjuang untuk orang yang gak perjuangin kamu juga coba noleh kebelakang gaada sih yg perjuangin kamu xixixi
-1	aku tengah deal dengan hati tapi aku kalah sebab masih sayangkan kau 
0	aku
-1	sekali aku dah tegur cukup mungkin dia nak berubah ke tak hal dia asalkan dah lepas tanggungjawabkan
0	halo teman idaman saatnya quizidaman turbo hadir kembali niih kali ini turbo ingin mengajak kamu untuk menebak keunggul 
1	kalau gituu aku mau pc holo setnya yang wonwoo 1 yang mana ajalah buat hadiah wkwk fannya masih ada ga ka 
-1	gaisss maafkan la si gemok lagi bodoh ini sesungguhnya dia hanya manusia biasa yg sering melakukan kesilapan dan 
0	iyaaa kalau aku naik kelas 
-1	kadang2 aku rasa kau terpaksa kau takde pilihan pun untuk stay tapi kau taknak nampak kejam untuk pergi 
0	lately ni keje aku nak menafikan dan menjawab pertuduhan dan fitnah orang jeenang jugak kerja pembangkang ni dia lup 
1	nctea aku jadi pengen punya pacar kayak jaemin sumpah dia tuh loving guy banget kalo lgi dengerin org crita senyumnya 
0	mamah nanyain kamu
-1	mb aku emang bangsad maafkan aku 
0	dm aku ga open ya 
0	shakir mcm dah tau je aku spy dia tenang je aku nak tinggalkan family 
0	'taeyong buka dengerin aku aku bisa jelasin' jalan pak rh 
0	apa benda aku baca ni
1	aku memahami eceh
0	3 kirim jawaban di kolom komentar dengan format quizidaman tebakkeunggulanblenderturbo dilengkapi dengan jawaban kamu 4 
-1	mesti sakit kalau tercucuk
0	jujur aku butuh liburan 
0	fast giveawayesuai janji ga pulsa tp terserah aku nominalnya brp doain semoga barang dr temenku smpe di rumahku 
-1	aku tak dapat hidup tanpa sahabat baik ku aku bahkan tak dapat membayangkan dunia tanpa sahabat baik ku erzacarlet
-1	dia ajak aku main game dalam kedaan hp org semua kene rampas ni jadah dia haih
-1	walaupun diri ini dah hancur percayalah aku cuba juga untuk membahagiakan orang sekeliling tanpa putus asa itu sahaja ya 
0	biasa aku bayar advance 
0	acara mingguan di rumah aku itu mahj
-1	jangan kamu cemburu akan nikmat yg diperoleh oleh ahli maksiat 
-1	syok sendiri aku pun tak post dlm acc aku kau pulak postkan dalam acc aku 
0	kalo buat aku sih ya pada saat kamu diam itu bukan emas tapi emesh 
1	alangkah baiknya jika kamu bersedia mengenal kan ku padanya nov
-1	aku harap orang yang buat kat kucing macam ni kekal dalam neraka hidup pun perangai lagi teruk dari binatang 
1	i have submitted your resume tolong ah accept kalau dapat taklah aku pisang kat sini hahahaahah
0	anyone bagi tau aku sat apa yang salah mungkin nak pegawai menteri datang rumah kot jemput bagi surat ohh dalam iium onlin 
-1	daripada gaketemu sama sekali sih dia kan mau ngelepas kangan bukan mau liat kamu mulus 
-1	thread paling anjing at first ingat apa masalah minah ni cakap pasal insecurity dia atau masalah psycho dia rupa rupa 
0	nama kau sama dengan aku jadi muka pun mesti sama 
-1	aku ke kampus untuk menuntut ilmu ketemu wong2 podo gak takon yoweslah 
1	dan inilah yang crusah aku kate kan thankiu 
0	29 fav tanggal lahir kamu 
0	siang cuaca hari ini lagi panas atau dingin kalau lagi panas jangan lupa minum air putih yang banyak tapi jangan 
-1	adik aku kalah fifa dia salahkan fifa
-1	anjing
1	kak ingt msh ada aku gk ush pusing klau nanti sibuk wkwkwk
0	kisah dia sama seperti aq kot 
0	so lirik amanra yg lu humble dia tumblr tu lucah laaa ya allah aku dok nyanyi dlm otak setiap kali dlm keta astaghfirllahalazim
0	dtg ipoh aku on terus
0	macam mana bos aku tau aku tengah menyorok kat malaysia ni aku dah tak buat dah kerja2 spy ni aku dah bersara nak hidup 
0	perut ni dok bunyi plakk aku xde selera mkn kau pulak sibuk bunyi xleh paham ka tuan hg ni xda mood 
1	nak beritahu kalau orang tegur cuba kita ambil sisi positif teguran tu mungkin cara dia kasar menegur tapi atleast di 
-1	maybe now u won but its okay kita takkan sentiasa di ats just do wht ever u want u guys yg mintak aku benci korg 
0	mak mertua pernah kena copek dek makcik tua dalam kedai tudung dekat jalan tar lepas tengok cctv yang jelas macam hd 
0	oh iya tanggal 14 ya aku nggak punya foto konsep isd 
0	aku tak tau mana yang binatang sekarang 
-1	math paper 1 boleh buat aku menangis
1	yes sumpah sure hahhahahah stress aku nak membuang pon tak selesa
0	seketika aku lupa istilah fingerprint masa 
0	apakah aku tida terlalu termotivasi
-1	heh justru aku iri sama yang ambis aku tu ya sumpah ngantukan sekos nih sama2 anak fk 
0	mcm biasalah ye mampu target je tak tau lah rupa result mcm mana nanti harap2 tak hodoh sangat mcm rupa aku ahaks 
0	10 aku reveal crush aku deal 
1	selamat siangg wahai kawanku bagaimana siang jum'at nya panas kah ah pasti kayaknyaemoga ga sepanas keti 
1	ya ya ya dan aku tahu sekarang 
0	a friend of mine yang aku selalu lupa nama tu dia patut tempek kat dahi nama dia so aku tak cakap bye awakkhould h 
-1	dengan kata lain bigbang tidak akan pernah bisa kamu banding bandingkan dengan siapapun dan gak ada itu kata kata the nex 
0	dlu time skolah tak sampai hati xmakan ape mak masak utk sapan kalau dah lambat pun aku tetap akan makan atau 
0	tapi kalian sama sama kyot aku joha 
-1	tak ajak aku pun 
1	hahahahha nasib aku adekan saport kau dulu tidak nanti hambar
-1	aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang 
-1	aku kangen kamu dulu saat kita jalan bersama 
0	iya nih di jogjaa maba akuuu wkwkwkkw kamu gap year 
0	halo kak aku baru pertama mau belajar skinkeran jadi ini pake pas malam gitu itu semua atau gimana maaf kalo rep 
0	jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k 
-1	kisah sedih minggu ini 
0	janganampai aku rebus paper math ha
1	yaa aku kan pengen dapet 
-1	kalo kamu lagi dimana mana dan itu bukan daerahmu ya coba buat ngehargain apa yang ada disana jangan sembar 
0	itu kalo ditanya in ke aku pasti 90 jawabannya 
0	tahukah kamu 14eptember diperingati sebagai hari kunjung perpustakaan peringatan ini dimulai sejak tahun 1995 oleh p 
0	pah butang baju melayu aku mana pah 
-1	aku pernah ngorat sorang laki ni pastu dia rejected aku mampus tanak ngorat dahhhhh
1	karna penampilan tidak menjamin rijki serta jodoh seseorang jadi bersyukurlah aku yg tetap selalu mencoba seseder 
0	aku ngerti sek tok maksud tp koe bien wae tbtb lungo aku udu ameh mengungkit masalalu mbok uwes aku menyarankan 
-1	turn off betul bila nak argue dengan someone and that someone start personal attack or screenshot bio lmao sebab tu 
0	aku dtg ukm aja cm sekali kak wwkwkk btw album gimans kak q menunggu 
0	aku ni balik balik penat tau lepastu tgk tgk ada makcik bawang niialla
1	aku suka bila org yg aku syg selalu cari aku letakkan aku sbg priority diauka duka susah senang dia cari aku dia tak p 
0	meskipun di dunia ini milyar juta orang tapi sebenarnya mereka sudah tidak ada fatamorgana itulah sebabnya tid 
0	kita strictkan pembelian rumah 1 keluarga 1 rumah je boleh beli nanti siapa yang baru start kerja minggu pertama kerja 
0	chtt aku tan nih wa aku 081578766035
1	9 10 krn kesempurnaan hanya milik allahwt ea aku pgn bisa buat gituan biar cttnku asik gt dibacanyaaa
0	pastu nak salahkan aku 
-1	jangan lupa sholat jumat ya sayang aku jelek ya sayang ' bukan biar ganteng ih itu kan wajib oh kirain makasi 
1	thank you cit udah percaya ama shop aku 
0	semua habis babe aku privy amp anusya travel dr tm pudu tbs and skg dari tbs nak gi ipoh bas pkl 1 
1	dear kaum hawa ciri bf apa yang anda suka aku tanya hawa yang jantan jangan komen hahaha
0	drkepo apakah kamu mempunyai binatang peliharaan saat ini 
0	nctzh jaemin as anak broken home nana gabisa dihubungin setelah kalian vc semalem dan kamu denger suara banting banting 
-1	iyaa serah kamu serah 
0	kalo aku naksir mau apa kau 
0	bighit cerdik ya awal tahun army disuguhi run bts run bts hiatus mereka comeback comeback kelar ada worldtour lg worl 
0	balik je muka patah hati gado dgn matair ke keluar dgn kawan jgn cakap je skali keluar dgn orang lain ape bu 
0	bkpe tarikh dia 31 9 
-1	then mase aku tade mood tu ternampak pula post pasal kucing lah dobi lah lagi buat aku geram 
1	kamu cantik dan hatimu baik hertysev
0	giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo 
-1	nyesek rasanya kenapa kamu setega itu
0	kasi aku bocoran penempatan kdmp dong hcbp tidak bisa menahan kedeg degan ini selama 2 minggu lagi
0	1 ruang ada kursi baru dan ada kursi lama cukup lama juga ini karena kelas ada yang di pake jadi permisi permisi d 
-1	kenapalah aku kena duduk depan drama queen ni urghhhh 
0	sampai studio buka memory card camera semua gambar blur dan lop sided lol
0	ni nak femes je sebenarnya 
1	ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka 
-1	aku rasa jual maruah pun tak lepas nak beli iphone xs ni 
0	aku 4beradik 2laki 2pueyemua jaley mendado gtu tp hk jate tu bialah hk tino ni saeng2 aku pom r 
-1	aku benci menganggap enteng apapun tugas yang diberikan gildarts
-1	nyebelin banget sengaja banget buat sebell huft 
1	bersama terbenamnya matahari senja ini panjangkanlah kesabaranku sampaikanlah aku di masa depan yang mapan
-1	suka heran kenapa rp chanyeol banyak banget di tl aku sampe puyeng 
1	laa patutlah bapa aku pakai dp wasap accapan farewell 
0	aku ngomongin keseluruhan na 
1	nak beritahu kalau orang tegur cuba kita ambil sisi positif teguran tu mungkin cara dia kasar menegur tapi atleast di 
-1	pp bingung mau nembak cewe gimana atau mau ngelamar hmmm atau mau mensive tp bingung mau ngasih hadiah apaa hiiiii 
1	giveaway bcs belakangan ini banyak kejadian hal baik dan aku udh ngerasain gimana rasanya menang ga jadi aku mau ga kec 
-1	tlg please bg perempuan tu baca malu wei lagi malu bila dia beria cerita kat kwan dia n aku skli dengar aku n 
-1	so im back to single life after being dumbed by my ex gf sebab dia ada laki lain guys not all men are trash aku sia 
0	2hare retweet repost informasi tentang kuis ini pada akun sosial media kalian dan tag mention 10 orang teman kamu 
0	yaallah masku baju nya pernah begini
0	apakah sudah templatenya kalo udah jadi mamah mamah tuh kalo ada bagi2 hadiah atau apapun akan bilang aku satu lagi dong b 
0	2 tipe orang saat makan nasi kamu suka nasi apa 
0	jahsbbehdf exactly benda aku yang fikir dah kerin macam sotong kerin pun tak angkat2 lagj
0	vote mwave music chart h 5 mass voting voting serentak 1x vote per akun per hari 
0	aku juga kembar sama dia 
1	aku harap korang akan okay
0	mamak ni nak try aku ke apa 
0	apakah aku telat 
1	yaaaaaaa
0	aku mah gaada ia ia ia 
-1	orang selalu kata aku penat when dia sebenarnya tengah rasa sedih 
1	aku aja aku
0	korang tak beranak takpelah boleh maintan cuba korang yang teran anak tengok la camner
0	w n serius kak aku kayak gini kalo tidur sendiri di kamar mama aku masa
0	kalau bestfriend perempuan tu kenal lagi lama dari awek its okay lah bagi aku kalau tak baik bestfriend tu jadi a 
-1	makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb 
0	tadi nyariin kamu 
0	students aku semua redha dgn paper math 
-1	aku relaa dikutuk jadi bayi yang digendong minongeriusaan 
-1	aku tak faham betul lelaki tak suka perempuan pakai makeup 
-1	ga kenal aku
0	ya memang aku diam ja tadi 
-1	tak kiro apikan ro aku tok jebul ro kabeh tiwas gr
-1	khas untuk suami yg curang dgn isteri tak reti appreciate isteri dan kaki betina betapa besarnya pengorbanan seorg ibu 
0	waaah udah ngoleksi badge aku baru suka sejak 2016 dan baru beli merch tahun ini itupun cuma merch y 
1	giveaway lagi nihhhh aku akan jadi karma buat kebaikan yang udh kalian lakuin selama ini dgn cara bagiin parfum yg lg hits 
-1	bareng chanu jgn bacot di mt nanti limit mentab ke suspend loh wkwk aku mau molor bentar
0	aku tidur dulu ya kamu kalo masih kangen ke kos aja jendela ga aku kunci kok 
1	bilang aamiin makasih kalo aku anti kamu lebih cantik club 
-1	takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian
0	jari aku punya kering ngan licin sampai phone tak detect 
0	ye wehh jem pala aku
0	bukan tak nak kdg tu aku rasa macam kapitalis pulaori lah kalau rasa macam kasarbb ni monolog dalam diri aku w 
0	sempena hari jumaat ni aku nak mintak sikit sumbangan dari korang untuk mereka di kemboja sana wang sumbangan kekurangan l 
1	buat yg suka genre crime mistery thriller kudu bgt nntn drama satu ini hand the guest heran aku knp ocn jago bg 
-1	aku bisa terima semua ini walaupun aku harus terluka ' 
0	nasib aku ada 15 minit lebih boleh aku merenung masa depan
0	aku waktu itu 2 hari lama banget emangggg 
-1	jadi diri sendiri uke ga harus cute tapi uke harus lelaki lagipula kalau seseorang tidak suka dengan 
-1	alasan paling cliche aku pernah dengar dari mulut seorang wanita adalah 'saya dah banyak sakitkan hati awak dan tak sanggup 
0	hello budak belakang ni nak otp ngan bf pun beragaklah duk buatuara manja dalam bas ni apa benda aduyai aku lempang 
0	nasihat aku kalau kau betul2 dekat bandar boleh lah pakai kalau tak 
0	amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara 
0	someone tolong kutip dia aku tak larat dah nak simpan member bodo cmni 
0	kl dosen kl ngajar kamu langsung catet serapih ini atau coret2an dulu baru dirapihin wkwk
-1	apakah harimu terasa kacau berantakanean pernah mengalaminya dan inilah responnya 
1	aku ilham u 
0	17's gila ga sih kalo hari gini aku nyari yg jual tiket idealcutinjakarta underprice wtb deh yg green aja reply coba
-1	aku ngode ke kamu tapi kamu nyuruh ke orang lain jd kamu tipe yg seperti itu yun dah ah jgn bikin notif org2 jd penuh 
1	giveaway pulsa dikarenakan hari ini aku lagi bahagia mau adain ga kecil an buat kalian 2 pemenang akan dapat puls 
-1	cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p 
-1	merepak indah aku hahaha asa nk ketok jak palak pemerintah ya
-1	aku kalau dah sakit hati dengan orang muka orang tu pun aku malas tengok 
0	macam mana laa aku jawabpm nanti 
1	finally uri khunnie ada solo tour ma terharu aku tuh 
-1	aku tak mempunyai segalanya seperti yang lain tapi aku punya hati yang selalu setia padamu bot
-1	dan perlu juga aku ingatkan tidak sesekali aku mengikuti prinsip bucaeillism iaitu mengaitkan penemuan saintifik dengan 
0	atau dialog pilm yang ga kalah melegenda ini barusan saya ngelempar pulpen ke orang gara gara ada yg berisik di ruangan 
-1	kamu berdiri keluar beliin tempe atm dan cabe sama bawang ini uang nya 
1	aku nak pesan satu benda penting ni hargai orang yang masih ada kat dunia ni especially ur mom dad grandma pa siblin 
-1	tapi nak perbetulakn apa yang dah hancur tu mustahil bagi aku la aku tak dendam tapi aku tak boleh terima dan lupakan 
-1	aku aja gatau aku ini siapa skrg 
1	aku pun pikir benda yang sama
1	tsktays mutualan hayuk rt aja aku ada auto follback yaaa 
-1	penat seyh
0	aku baru tau jeno bisa main gitar gemesh nctea 
0	giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo 
1	kalo aku pake bahasa asakusu sasayasang basangtasan wkwkwkwkwkw
1	aku meratapi hidup dengan chill 
0	aku tunggu orang ada kereta la ajak ni huh
0	mfs folowan rt ja ntar aku folow follback tpi
-1	bestfriends always known me well aku tak sempat nak cerita pun yg aku tgh sedih tiba tiba dia hantar lagu ni yang s 
1	anw aku sendernya ini beli di d3b3eautyhous3 shopee ya pas kmrn ada free ongkir tanpa min pembeli 
1	hahahaha maap yak dikira aq soalnya kan km ngasih aku eyeshadow palette 
1	aku ni dah la mudah terhibur ya allahhhh 
-1	hahaha aku gak pinter2 gmna kak ini aja kek mau nyerah bgt dah da mampu 
0	nctea ayo mutualan aku bucin jaemin aje ye oke
0	baru bangun tidur cari punya cari spek mata dalam setengah jam sampai laa fed up aku terus tido balikkelak kepa 
-1	aku tahu aku banyak sakitkan hati kau cuma aku nak minta maafebab aku menyesal buat semua tu aku rindu kau 
0	maabucks hadir di go food festival gbkenayan ramaikan martabucks di go food festival gelora bung karnoena 
0	nanti aku add yaaa
1	hai orang orang yang beriman janganlah kamu mengkhianati allah dan rasul muhammadaw 8 27 
0	gak kliatan aku pakek kresek kita seline bebihhh wkwk liat profile akoh gihh nga y mp ak bkn pens km
0	aku bagi je tau mak aku ni kang aku taksuka dia duduk dlm bilik aku
1	haii aku michelle si cantikk imuutt pinteerr bgt o gt lt o itu gak boong lhoo p
-1	aku susah nak sayang orang aku susah nak move onemua perlu masa yang lama tapi bila dah sayang aku akan sayang gila 
0	cabebawang100ribu maaf itu buat satu kampung cabebawang100ribu maaf itu buat satu bulan 
0	suruh beli kaos kaki jam set 10 malem mana ada toko buka habis itu suruh nguras bak mandi dan ngosek wc malem2 
-1	jangan tanya aku kenapa aku jadi mcm ni aku memang senang nak memaafkan tapi aku susah nak melupakan
1	mau aku ciumiiinnnn mau aku pelukinn pokoknyaaa
0	cuma 7mb kamu bisa mendapatkan pulsa gratis setiap hari download cashtree sekarang di 
-1	karna aku bukan crazy rich balikpapan
1	kamu punya berapa banyak topi banyak bgt non tapi yg paling fav bgt yang warna item polos terus sama yg adidas 
0	tadi masa jemaah magrib dgn suami budak sekor ni mcm biasa lah akan menyebok dan time nak sujud tulah dia terkepit dalam 
0	dear temen tolong lah ya setiap gue yang fotoin kalian hasilnya pada cakep elok cantik dan sedap dipandangedangkan gil 
-1	kepada perempuan yang berdiri sebelah aku dekat pejabat hea fakulti pengurusan perniagaan tolonglah bau mulutendir 
1	tergelak sorang sorang aku bila baca reply dorangni hahahaha 
-1	mbok kalau mau ngutip pilm itu yg sedikit nasionalis kek misalnya kamu tuh kalau lagi kebingungan lebih nyenengin ya 
0	sebenarnya aku masih tertanya laki perempuan ni nak apa dok mainkan hati orangebab tak boleh menjauhebab kau as 
-1	rindu aku tu
